# Digitales Impfquotenmonitoring zur COVID-19-Impfung
# CSV-Version der Excel-Datei des RKI
# Quelle: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.htm
# Abfragezeitpunkt: 2021-02-16 15:24:19
# 
# Digitales Impfquoten-Monitoring COVID-19 - Erläuterung
# Datenstand: 16.02.2021, 08:00 Uhr
# Durchgeführte Impfungen bundesweit und nach Bundesland bis einschließlich 15.02.21 (Gesamt_bis_einschl_15.02.21)
# Die kumulative Zahl der Impfungen umfasst alle Impfungen, die bis einschließlich 15.02.21 durchgeführt und bis zum 16.02.21, 08:00 Uhr, dem RKI gemeldet wurden. Nachmeldungen und Datenkorrekturen aus zurückliegenden Tagen sind in der kumulativen Zahl der Impfungen enthalten. 
# Die Impfquote ist der Anteil aller bisher Geimpften in der Gesamtbevölkerung. 
# Für die Berechnung der Impfquote wurde der Bevölkerungsstand vom 31.12.2019 zugrunde gelegt (Quelle: Statistisches Bundesamt, https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Tabellen/bevoelkerung-nichtdeutsch-laender.html).
# Anzahl Impfungen nach Indikation bis einschließlich 15.02.21 (Indik_bis_einschl_15.02.21)
# Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen. In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.
# Durchgeführte Impfungen bundesweit nach Tag der Impfung (Impfungen_proTag)
# In der Tabelle sind die für jeden Impftag an das RKI gemeldeten Impfungen dargestellt. Nachmeldungen aus zurückliegenden Tagen werden rückwirkend für den jeweiligen Impftag nachgetragen.
#  
# Verfügbare Impfstoffe in Deutschland:
# BioNTech seit 26.12.2020
# Moderna seit 14.01.2021
# AstraZeneca seit 08.02.2021
# RS: Regionalschlüssel eines jeden Bundeslandes (destatis, https://www.destatis.de/DE/Themen/Laender-Regionen/Regionales/Gemeindeverzeichnis/Administrativ/beschreibung-gebietseinheiten.pdf?__blob=publicationFile).
# Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.
# * In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.
RS,Bundesland,Erstimpfung - Indikation nach Alter,Erstimpfung - Berufliche Indikation,Erstimpfung - Medizinische Indikation,Erstimpfung - PflegeheimbewohnerIn,Zweitimpfung - Indikation nach Alter,Zweitimpfung - Berufliche Indikation,Zweitimpfung - Medizinische Indikation,Zweitimpfung - PflegeheimbewohnerIn
08,Baden-Württemberg,201945,118676,11056,65444,98268,56344,3443,30402
09,Bayern,189919,234218,12905,105870,79430,131000,4288,71551
11,Berlin,98211,31449,150,37764,55121,21969,30,30149
12,Brandenburg,37425,40904,1307,18610,22295,35175,713,11326
04,Bremen,12256,9947,248,7509,5883,6860,93,5683
02,Hamburg,28217,33248,1885,13753,13332,20020,204,9146
06,Hessen,97013,76296,5733,43773,27992,45082,5452,28523
13,Mecklenburg-Vorpommern,14760,29060,1474,19740,3844,18950,407,12053
03,Niedersachsen,65499,109707,31622,83007,24256,68487,19857,54727
05,Nordrhein-Westfalen,142608,345899,14152,172676,48648,167871,10189,121947
07,Rheinland-Pfalz,52624,64582,97,35559,46336,41757,76,18597
10,Saarland,22085,9384,0,9289,12079,3225,0,5372
14,Sachsen,32278,72051,4223,30112,16677,34736,3996,10004
15,Sachsen-Anhalt,24414,34964,3204,22890,13444,20044,2347,14177
01,Schleswig-Holstein,31411,32873,6641,33898,30058,21690,5520,17191
16,Thüringen,38091,36546,4258,9699,15439,20006,1669,5310
,Gesamt,1088756,1279804,98955,709593,513102,713216,58284,446158
